Course Name,Course Level,Category,Major Subject
Aeronautical Engineering,Diploma,Diploma / Polytechnic,CAD/CAM
Aeronautical Engineering,Diploma,Diploma / Polytechnic,Engineering Drawing
Aeronautical Engineering,Diploma,Diploma / Polytechnic,Engineering Mathematics
Aeronautical Engineering,Diploma,Diploma / Polytechnic,Engineering Mechanics
Aeronautical Engineering,Diploma,Diploma / Polytechnic,Fluid Mechanics
Aeronautical Engineering,Diploma,Diploma / Polytechnic,Machine Design
Aeronautical Engineering,Diploma,Diploma / Polytechnic,Manufacturing Processes
Aeronautical Engineering,Diploma,Diploma / Polytechnic,Strength of Materials
Aeronautical Engineering,Diploma,Diploma / Polytechnic,Theory of Machines
Aeronautical Engineering,Diploma,Diploma / Polytechnic,Thermodynamics
Aerospace Engineering,Diploma,Diploma / Polytechnic,CAD/CAM
Aerospace Engineering,Diploma,Diploma / Polytechnic,Engineering Drawing
Aerospace Engineering,Diploma,Diploma / Polytechnic,Engineering Mathematics
Aerospace Engineering,Diploma,Diploma / Polytechnic,Engineering Mechanics
Aerospace Engineering,Diploma,Diploma / Polytechnic,Fluid Mechanics
Aerospace Engineering,Diploma,Diploma / Polytechnic,Machine Design
Aerospace Engineering,Diploma,Diploma / Polytechnic,Manufacturing Processes
Aerospace Engineering,Diploma,Diploma / Polytechnic,Strength of Materials
Aerospace Engineering,Diploma,Diploma / Polytechnic,Theory of Machines
Aerospace Engineering,Diploma,Diploma / Polytechnic,Thermodynamics
Agricultural Engineering,Diploma,Diploma / Polytechnic,Academic Writing
Agricultural Engineering,Diploma,Diploma / Polytechnic,Communication Skills
Agricultural Engineering,Diploma,Diploma / Polytechnic,Core Subject Studies
Agricultural Engineering,Diploma,Diploma / Polytechnic,History / Theory of the Discipline
Agricultural Engineering,Diploma,Diploma / Polytechnic,Indian Constitution
Agricultural Engineering,Diploma,Diploma / Polytechnic,Indian Society & Culture
Agricultural Engineering,Diploma,Diploma / Polytechnic,Research Methodology
Agricultural Engineering,Diploma,Diploma / Polytechnic,Social Science Research
Agricultural Engineering,Diploma,Diploma / Polytechnic,Statistics / Data Analysis
Agriculture,Diploma,Diploma / Polytechnic,Agricultural Economics
Agriculture,Diploma,Diploma / Polytechnic,Agricultural Engineering
Agriculture,Diploma,Diploma / Polytechnic,Agricultural Extension
Agriculture,Diploma,Diploma / Polytechnic,Agronomy
Agriculture,Diploma,Diploma / Polytechnic,Crop Production
Agriculture,Diploma,Diploma / Polytechnic,Entomology
Agriculture,Diploma,Diploma / Polytechnic,Genetics & Plant Breeding
Agriculture,Diploma,Diploma / Polytechnic,Horticulture
Agriculture,Diploma,Diploma / Polytechnic,Plant Pathology
Agriculture,Diploma,Diploma / Polytechnic,Soil Science
Architecture,Diploma,Diploma / Polytechnic,Architectural Design
Architecture,Diploma,Diploma / Polytechnic,Architectural Graphics
Architecture,Diploma,Diploma / Polytechnic,Building Construction
Architecture,Diploma,Diploma / Polytechnic,Building Services
Architecture,Diploma,Diploma / Polytechnic,Computer-Aided Design
Architecture,Diploma,Diploma / Polytechnic,Environmental Design
Architecture,Diploma,Diploma / Polytechnic,History of Architecture
Architecture,Diploma,Diploma / Polytechnic,Structural Design
Architecture,Diploma,Diploma / Polytechnic,Urban Planning
Artificial Intelligence,Diploma,Diploma / Polytechnic,AI Ethics
Artificial Intelligence,Diploma,Diploma / Polytechnic,Computer Vision
Artificial Intelligence,Diploma,Diploma / Polytechnic,Data Structures & Algorithms
Artificial Intelligence,Diploma,Diploma / Polytechnic,Database Management Systems
Artificial Intelligence,Diploma,Diploma / Polytechnic,Deep Learning
Artificial Intelligence,Diploma,Diploma / Polytechnic,Generative AI
Artificial Intelligence,Diploma,Diploma / Polytechnic,Java Programming
Artificial Intelligence,Diploma,Diploma / Polytechnic,Large Language Models
Artificial Intelligence,Diploma,Diploma / Polytechnic,Linear Algebra
Artificial Intelligence,Diploma,Diploma / Polytechnic,MLOps
Artificial Intelligence,Diploma,Diploma / Polytechnic,Machine Learning
Artificial Intelligence,Diploma,Diploma / Polytechnic,Natural Language Processing
Artificial Intelligence,Diploma,Diploma / Polytechnic,Probability & Statistics
Artificial Intelligence,Diploma,Diploma / Polytechnic,Python Programming
Artificial Intelligence,Diploma,Diploma / Polytechnic,Retrieval-Augmented Generation (RAG)
Automobile Engineering,Diploma,Diploma / Polytechnic,CAD/CAM
Automobile Engineering,Diploma,Diploma / Polytechnic,Engineering Drawing
Automobile Engineering,Diploma,Diploma / Polytechnic,Engineering Mathematics
Automobile Engineering,Diploma,Diploma / Polytechnic,Engineering Mechanics
Automobile Engineering,Diploma,Diploma / Polytechnic,Fluid Mechanics
Automobile Engineering,Diploma,Diploma / Polytechnic,Machine Design
Automobile Engineering,Diploma,Diploma / Polytechnic,Manufacturing Processes
Automobile Engineering,Diploma,Diploma / Polytechnic,Strength of Materials
Automobile Engineering,Diploma,Diploma / Polytechnic,Theory of Machines
Automobile Engineering,Diploma,Diploma / Polytechnic,Thermodynamics
Biomedical Engineering,Diploma,Diploma / Polytechnic,Academic Writing
Biomedical Engineering,Diploma,Diploma / Polytechnic,Communication Skills
Biomedical Engineering,Diploma,Diploma / Polytechnic,Core Subject Studies
Biomedical Engineering,Diploma,Diploma / Polytechnic,History / Theory of the Discipline
Biomedical Engineering,Diploma,Diploma / Polytechnic,Indian Constitution
Biomedical Engineering,Diploma,Diploma / Polytechnic,Indian Society & Culture
Biomedical Engineering,Diploma,Diploma / Polytechnic,Research Methodology
Biomedical Engineering,Diploma,Diploma / Polytechnic,Social Science Research
Biomedical Engineering,Diploma,Diploma / Polytechnic,Statistics / Data Analysis
Biotechnology,Diploma,Diploma / Polytechnic,Biochemistry
Biotechnology,Diploma,Diploma / Polytechnic,Bioinformatics
Biotechnology,Diploma,Diploma / Polytechnic,Bioprocess Engineering
Biotechnology,Diploma,Diploma / Polytechnic,Biostatistics
Biotechnology,Diploma,Diploma / Polytechnic,Cell Biology
Biotechnology,Diploma,Diploma / Polytechnic,Ecology
Biotechnology,Diploma,Diploma / Polytechnic,Genetics
Biotechnology,Diploma,Diploma / Polytechnic,Immunology
Biotechnology,Diploma,Diploma / Polytechnic,Microbiology
Biotechnology,Diploma,Diploma / Polytechnic,Molecular Biology
Chemical Engineering,Diploma,Diploma / Polytechnic,Chemical Process Calculations
Chemical Engineering,Diploma,Diploma / Polytechnic,Chemical Reaction Engineering
Chemical Engineering,Diploma,Diploma / Polytechnic,Chemical Technology
Chemical Engineering,Diploma,Diploma / Polytechnic,Engineering Mathematics
Chemical Engineering,Diploma,Diploma / Polytechnic,Fluid Mechanics
Chemical Engineering,Diploma,Diploma / Polytechnic,Heat Transfer
Chemical Engineering,Diploma,Diploma / Polytechnic,Mass Transfer
Chemical Engineering,Diploma,Diploma / Polytechnic,Process Control
Chemical Engineering,Diploma,Diploma / Polytechnic,Process Design
Chemical Engineering,Diploma,Diploma / Polytechnic,Thermodynamics
Civil Engineering,Diploma,Diploma / Polytechnic,Concrete Technology
Civil Engineering,Diploma,Diploma / Polytechnic,Engineering Drawing
Civil Engineering,Diploma,Diploma / Polytechnic,Engineering Mathematics
Civil Engineering,Diploma,Diploma / Polytechnic,Engineering Mechanics
Civil Engineering,Diploma,Diploma / Polytechnic,Environmental Engineering
Civil Engineering,Diploma,Diploma / Polytechnic,Geotechnical Engineering
Civil Engineering,Diploma,Diploma / Polytechnic,Hydraulics
Civil Engineering,Diploma,Diploma / Polytechnic,Strength of Materials
Civil Engineering,Diploma,Diploma / Polytechnic,Structural Analysis
Civil Engineering,Diploma,Diploma / Polytechnic,Surveying
Civil Engineering,Diploma,Diploma / Polytechnic,Transportation Engineering
Computer Engineering,Diploma,Diploma / Polytechnic,Computer Networks
Computer Engineering,Diploma,Diploma / Polytechnic,Data Structures & Algorithms
Computer Engineering,Diploma,Diploma / Polytechnic,Database Management Systems
Computer Engineering,Diploma,Diploma / Polytechnic,Java Programming
Computer Engineering,Diploma,Diploma / Polytechnic,Object-Oriented Programming
Computer Engineering,Diploma,Diploma / Polytechnic,Operating Systems
Computer Engineering,Diploma,Diploma / Polytechnic,Programming Fundamentals
Computer Engineering,Diploma,Diploma / Polytechnic,Python Programming
Computer Engineering,Diploma,Diploma / Polytechnic,Software Engineering
Computer Engineering,Diploma,Diploma / Polytechnic,Web Development
Electrical Engineering,Diploma,Diploma / Polytechnic,Control Systems
Electrical Engineering,Diploma,Diploma / Polytechnic,Digital Electronics
Electrical Engineering,Diploma,Diploma / Polytechnic,Electrical Circuits
Electrical Engineering,Diploma,Diploma / Polytechnic,Electrical Machines
Electrical Engineering,Diploma,Diploma / Polytechnic,Electrical Measurements
Electrical Engineering,Diploma,Diploma / Polytechnic,Engineering Mathematics
Electrical Engineering,Diploma,Diploma / Polytechnic,Power Electronics
Electrical Engineering,Diploma,Diploma / Polytechnic,Power Systems
Electrical Engineering,Diploma,Diploma / Polytechnic,Renewable Energy Systems
Electrical Engineering,Diploma,Diploma / Polytechnic,Signals & Systems
Electronics & Communication,Diploma,Diploma / Polytechnic,Analog Electronics
Electronics & Communication,Diploma,Diploma / Polytechnic,Communication Systems
Electronics & Communication,Diploma,Diploma / Polytechnic,Control Systems
Electronics & Communication,Diploma,Diploma / Polytechnic,Digital Electronics
Electronics & Communication,Diploma,Diploma / Polytechnic,Electronic Devices
Electronics & Communication,Diploma,Diploma / Polytechnic,Embedded Systems
